1	wie	PWAV
2	man	PIS
3	denen	PRELS
4	helfen	VVINF
5	soll	VMFIN
6	/	$(
7	welche	ADJA
8	mit	APPR
9	der	ART
10	pestilenzische	NE
11	Gift	NN
12	begriffen	VVPP
13	sind	VAFIN
14	.	$.
1	durch	APPR
2	Doctor	NE
3	Jodocum	NE
4	Willichium	NE
5	von	APPR
6	Resell	NE
7	.	$.
1	gedruckt	VVPP
2	zu	PTKZU
3	Frankfurt	NE
4	an	APPR
5	der	ART
6	Oder	KON
7	durch	APPR
8	Johann	NE
9	Eichorn.	NN
10	M.	NE
11	D.	NE
12	L.	NE
1	wie	PWAV
2	man	PIS
3	denen	PRELS
4	helfen	VVINF
5	soll	VMFIN
6	/	$(
7	welche	PWAT
8	mit	APPR
9	der	ART
10	pestilenzische	NE
11	Gift	NN
12	begriffen	VVPP
13	sind	VAFIN
14	.	$.
1	wann	PWAV
2	einer	ART
3	begriffen	VVPP
4	ist	VAFIN
5	mit	APPR
6	der	ART
7	Pestilenz	NN
8	/	$(
9	soll	VMFIN
10	er	PPER
11	zuvoraus	ADV
12	zu	PTKZU
13	Gott	NN
14	laufen	VVFIN
15	/	$(
16	und	KON
17	darnach	PAV
18	Gottes	NN
19	Gaben	VVFIN
20	gebrauchen	VVINF
21	zur	APPRART
22	Gesundheit	NN
23	/	$(
24	und	KON
25	alles	PIS
26	in	APPR
27	Gottes	NN
28	Willen	NN
29	stellen	VVINF
30	/	$(
31	wie	KOKOM
32	einem	ART
33	frommen	ADJA
34	Christen	NN
35	gebührt	VVFIN
36	und	KON
37	geziemt	VVFIN
38	.	$.
1	also	ADV
2	hat	VAFIN
3	Jesus	NE
4	Syrach	NE
5	am	APPRART
6	38	XY
7	Kapitel	NE
8	vormahnt	VVFIN
9	/	$(
10	mit	APPR
11	diesen	PDAT
12	Worten	NN
13	.	$.
1	mein	PPOSAT
2	Kind	NN
3	/	$(
4	wann	PWAV
5	du	PTKZU
6	krank	ADJD
7	bist	VAFIN
8	/	$(
9	so	ADV
10	verachte	VVFIN
11	dies	PDS
12	nicht	PTKNEG
13	/	$(
14	sondern	KON
15	bitte	ADV
16	den	ART
17	Herrn	NN
18	/	$(
19	so	ADV
20	wird	VAFIN
21	er	PPER
22	dich	PPER
23	gesund	ADJD
24	machen	VVINF
25	/	$(
26	lass	VVFIN
27	von	APPR
28	der	ART
29	Sünde	NN
30	/	$(
31	und	KON
32	mache	VVFIN
33	deine	PPOSAT
34	Hände	NN
35	unsträflich	ADJD
36	/	$(
