1	1	kurzer	ADJA	ADJA	ADJA	ADJA	ADJA	ADJA	_
1	2	/	$(	$(	$(	$(	$(	$(	_
1	3	doch	ADV	ADV	ADV	ADV	ADV	ADV	_
1	4	gründlicher	ADJD	ADJA	ADJA	ADJA	ADJA	ADJA	MISMATCH
1	5	Bericht	NN	NN	NN	NN	NN	NN	_
1	6	/	$(	$(	$(	$(	$(	$(	_
1	7	von	APPR	APPR	APPR	APPR	APPR	APPR	_
1	8	Natur	NN	NN	NN	NN	NN	NN	_
1	9	/	$(	$(	$(	$(	$(	$(	_
1	10	Eigenschaft	NN	NN	NN	NN	NN	NN	_
1	11	/	$(	$(	$(	$(	$(	$(	_
1	12	Kraft	NN	NN	NN	NN	NN	NN	_
1	13	/	$(	$(	$(	$(	$(	$(	_
1	14	Wirkung	NN	NN	NN	NN	NN	NN	_
1	15	/	$(	$(	$(	$(	$(	$(	_
1	16	und	KON	KON	KON	KON	KON	KON	_
1	17	rechtmäßigem	ADJA	ADJA	ADJA	ADJA	ADJA	ADJA	_
1	18	Gebrauch	NN	NN	NN	NN	NN	NN	_
1	19	des	ART	ART	ART	ART	ART	ART	_
1	20	neu	ADJD	ADJA	ADJD	ADJD	ADJD	ADJD	MISMATCH
1	21	erfundenen	ADJA	ADJA	ADJA	ADJA	ADJA	ADJA	_
1	22	Brunnens	NN	NN	NN	NN	NN	NN	_
1	23	/	$(	$(	$(	$(	$(	$(	_
1	24	zun	APPRART	APPRART	APPRART	APPRART	APPRART	APPRART	_
1	25	dreien	CARD	CARD	CARD	CARD	ADJA	CARD	MISMATCH
1	26	Tannen	NN	NN	NN	NN	NN	NN	_
1	27	in	APPR	APPR	APPR	APPR	APPR	APPR	_
1	28	Meißen	NE	NE	NE	NE	NE	NE	_
1	29	bei	APPR	APPR	APPR	APPR	APPR	APPR	_
1	30	der	ART	ART	ART	ART	ART	ART	_
1	31	Zwönitz	NN	NN	NN	NN	NE	NN	MISMATCH
1	32	gelegen	VVPP	VVPP	VVPP	VVPP	VVPP	VVPP	_
1	33	.	$.	$.	$.	$.	$.	$.	_
2	1	gestellt	VVPP	NE	VVPP	VVPP	VVPP	VVPP	MISMATCH
2	2	durch	APPR	APPR	APPR	APPR	APPR	APPR	_
2	3	Medikus	NE	NE	NN	NN	NE	NN	MISMATCH
3	1	Joannem	FM	NE	ADJA	NE	NE	ADJA	MISMATCH
3	2	Philippum	FM	NN	NN	NN	NE	NN	MISMATCH
3	3	Brendelium	FM	NN	NN	NN	NE	NN	MISMATCH
3	4	,	$,	$,	$,	$,	$,	$,	_
3	5	Medicum	FM	NN	NN	NN	NE	NN	MISMATCH
3	6	jetzo	FM	ADV	ADJD	ADV	ADV	ADV	MISMATCH
3	7	zur	FM	APPRART	APPRART	APPRART	APPRART	APPRART	MISMATCH
3	8	Neustadt	FM	NN	NN	NN	NN	NN	MISMATCH
3	9	an	FM	APPR	APPR	APPR	APPR	APPR	MISMATCH
3	10	der	FM	ART	ART	ART	ART	ART	MISMATCH
3	11	Orla	FM	NE	NN	NN	NE	NE	MISMATCH
3	12	.	$.	$.	$.	$.	$.	$.	_
4	1	samt	APPR	APPR	APPR	APPR	APPR	APPR	_
4	2	angehängtem	ADJA	ADJA	ADJA	ADJA	ADJA	ADJA	_
4	3	Extract	NN	NN	NN	NN	NN	NN	_
4	4	/	$(	$(	$(	$(	$(	$(	_
4	5	verdeutschter	NN	ADJA	ADJA	ADJA	ADJA	ADJA	MISMATCH
4	6	historischer	NN	ADJA	ADJA	ADJA	ADJA	ADJA	MISMATCH
4	7	Beschreibung	NN	NN	NN	NN	NN	NN	_
4	8	desselben	PDS	PDAT	PDAT	PDAT	PDAT	PDAT	MISMATCH
4	9	Brunnens	NN	NN	NN	NN	NN	NN	_
4	10	/	$(	$(	$(	$(	$(	$(	_
4	11	unlängst	ADJD	ADV	ADV	ADV	ADV	ADV	MISMATCH
4	12	von	APPR	APPR	APPR	APPR	APPR	APPR	_
4	13	Medikus	NE	NE	NN	NN	NE	NN	MISMATCH
5	1	Martino	NE	NE	NE	NE	NE	NE	_
5	2	Pfuntelio	NE	NE	NE	NE	NE	NE	_
5	3	,	$,	$,	$,	$,	$,	$,	_
5	4	Rectore	NN	NN	NN	NN	NE	NN	MISMATCH
5	5	zu	PTKZU	APPR	APPR	APPR	APPR	APPR	MISMATCH
5	6	Plauen	NN	NE	NE	NE	NE	NE	MISMATCH
5	7	in	FM	APPR	APPR	APPR	APPR	APPR	MISMATCH
5	8	Latein	NN	NN	NN	NN	NN	NN	_
5	9	geschrieben	VVPP	VVPP	VVPP	VVPP	NE	VVPP	MISMATCH
5	10	/	$(	$(	$(	$(	$(	$(	_
5	11	und	KON	KON	KON	KON	KON	KON	_
5	12	in	APPR	APPR	APPR	APPR	APPR	APPR	_
5	13	Druck	NN	NN	NN	NN	NN	NN	_
5	14	verfertigt	VVFIN	VVPP	VVFIN	VVPP	NE	VVPP	MISMATCH
5	15	.	$.	$.	$.	$.	$.	$.	_
5	16	1608	CARD	CARD	CARD	CARD	CARD	CARD	_
5	17	.	$.	$.	$.	$.	$.	$.	_
6	1	gedruckt	VVPP	NE	VVPP	VVPP	NE	ADJD	MISMATCH
6	2	zu	PTKZU	APPR	APPR	APPR	APPR	APPR	MISMATCH
6	3	Jena	NE	NE	NE	NE	NE	NE	_
6	4	/	$(	$(	$(	$(	$(	$(	_
6	5	durch	APPR	APPR	APPR	APPR	APPR	APPR	_
6	6	Johann	NE	NE	NE	NE	NE	NE	_
6	7	Weidnern	NE	NN	NN	NN	NE	NN	MISMATCH
